id;% ??;PREZZO LISTINO 2008;PREZZO LISTINO 2009;LISTINO 2010;% ??;LISTINO 2011;% ??;LISTINO 2012;IMMAGINE;TIPO MATERIALE O TESSUTO;BARCODE;NS. ART.;DESCRIZIONE;CODICE FORNITORE;DESCRIZIONE IN INGLESE;COLOUR ;FABRIC - GLASS;DIMENSIONI ARTICOLO Cm.;VOLUME IMBALLO m³;PZ. IMB.;DIMENSIONI IMBALLO Cm.;COSTO FOB 2012 USD;COSTO FOB 2012 EUR; CALCOLO 30 CBM ; CALCOLO 68 CBM ;Q.tà per container;;Trasp.;DAZI USD;PREZZO LISTINO 2011 DA ARROT.;COSTO EUR TRASPORTO COMPRESO 2011;PESO ART. Kg.;PESO IMBALLO Kg.;FORNITORE;COSTO FOB 2008 USD;COSTO FOB 2009 USD;COSTO FOB 2009 EUR;COSTO FOB 2010 USD;COSTO FOB 2010 EUR;a;b;c
35;;;;302,9;;354,3;11,49;317,8;;;;50231;POLTRONCINA SCHIENALE ALTO ALASSIO CM.64X64X100 H ;GS-310FA;Armchair 64X64X100 with 5 cm cushion;AWB 1322 8x1,5 (BEST QUALITY AGO 5000-6000 HOURS) ;Water proof cushion with zipper - fabric: TORTORA A14203;64x64x100;0,677;2;77x80x110;49,8;36,09;89;201;201;191;29,85;;317,82;65,94;;;OTION;;;;51,93;37,09;;;MOBILI PER SEDERSI IMBOTTITI
36;0;;489,8;489,8;0;489,8;9,45;447,5;;STRUTTURA ALLUMINIO + TEAK;;50250;TAVOLO QUADRO ALASSIO CM. 90X90X75;GT-27071T;Teak Table Aluminium frame & full PE wicker cover, KD;1044 (HIGH QUALITY);TEAK TOP;90x90x75;0,088;1;92x92x10,5;142,9;103,55;341;773;773;734;7,76;;447,48;111,31;;;OTION;;169,4;114,46;140,3;100,21;;;TAVOLO TEAK
37;0;710;763,6;763,6;0;763,6;12,48;678,9;;STRUTTURA ALLUMINIO + TEAK;;50260;TAVOLO RETTANGOLARE ALASSIO COLOR SPECIAL BROWN PIANO IN TEAK CM 150X90X75;GT-27071-E;Teak table Aluminium frame & full PE wicker cover, KD;1044 (HIGH QUALITY);TEAK TOP;150x90x75;0,147;1;152x92x10,5 ;199;144,2;204;463;463;439;12,96;;678,94;157,16;;;OTION;;235,06;158,82;189,53;135,38;;;TAVOLO TEAK
38;;;;763,6;0;763,6;12,48;678,9;;STRUTTURA ALLUMINIO + TEAK;;50261;TAVOLO RETTANGOLARE ALASSIO COLOR BIANCO PIANO IN TEAK 150X90X75;GT-27071-E;Teak table Aluminium frame & full PE wicker cover, KD;AWB 1322 8x1,5 (BEST QUALITY AGO 5000-6000 HOURS) ;TEAK TOP;150x90x75;0,147;1;152x92x10,5 ;199;144,2;204;463;463;440;12,96;;678,94;157,16;;;OTION;;235,06;158,82;189,53;135,38;;;TAVOLO TEAK
39;0;339,8;372,2;372,2;0;372,2;-17,56;451,5;;STRUTTURA ALLUMINIO + VETRO;;50265;TAVOLO RETTANGOLARE ALASSIO COLOR SPECIAL BROWN 150X90X75;GT-27071-B;Rectangular table, with tempered SMOKED/BLACK glass top, KD;1044 (HIGH QUALITY);TEMPERED SMOKED/BLACK GLASS;150x90x75;0,147;1;152x92x10,5 ;125,8;96,63;204;463;463;440;12,96;7,55;451,5;109,59;;;OTION;;106,6;72,03;93,23;71,98;;;TAVOLO VETRO
40;;;;;;;;451,5;;;;50852;TAVOLO RETTANGOLARE ALASSIO COLOR ROVERE 150X90X75;GT-27071-B;Rectangular table, with tempered FROZEN/ WHITE glass top, KD;;FROZEN/WHITE TEMPERED GLASS;150x90x75;0,147;1;152x92x10,5 ;125,8;96,63;;;463;;12,96;7,55;451,5;109,59;;;OTION;;;;;;;;TAVOLO VETRO
41;;;;372,2;0;372,2;-17,56;451,5;;STRUTTURA ALLUMINIO + VETRO;;50266;TAVOLO RETTANGOLARE ALASSIO COLOR BIANC0 150X90X75;GT-27071-B;Rectangular table, with tempered FROZEN/ WHITE glass top, KD;AWB 1322 8x1,5 (BEST QUALITY AGO 5000-6000 HOURS) ;FROZEN/WHITE TEMPERED GLASS;150x90x75;0,147;1;152x92x10,5 ;125,8;96,63;204;463;463;440;12,96;7,55;451,5;109,59;;;OTION;;106,6;72,03;93,23;71,98;;;TAVOLO VETRO
42;;;;;;;;638,9;;;;50860;TAVOLO RETTANGOLARE ALASSIO COLOR SPECIAL BROWN 200X100X75;GT-27071-B;Rectangular table, with tempered FROZEN/ WHITE glass top, KD;1044 (HIGH QUALITY);TEMPERED SMOKED/BLACK GLASS;200x100x75;0,216;1;202x102x10,5;147,7;113,45;139;314;314;;19,11;8,86;638,93;132,56;;;OTION;;;;;;;;TAVOLO VETRO
43;4,23;844,1;903,4;941,6;0;941,6;9,71;858,3;;STRUTTURA ALLUMINIO + TEAK;;50270;TAVOLO RETTANGOLARE ALASSIO COLOR SPECIAL BROWN 200X100X75;GT-27071-G;Teak Table Coffee Table Aluminium frame & full PE wicker cover, KD;1044 (HIGH QUALITY);TEAK TOP;200x100x75;0,216;1;202x102x10,5;232,8;168,7;139;314;314;299;19,11;;858,26;187,8;;28,6;OTION;;253,48;171,27;221,68;158,34;;;TAVOLO TEAK
44;;;;941,6;0;941,6;9,71;858,3;;STRUTTURA ALLUMINIO + TEAK;;50271;TAVOLO RETTANGOLARE ALASSIO COLOR BIANCO 200X100X75;GT-27071-G;Teak Table Coffee Table Aluminium frame & full PE wicker cover, KD;AWB 1322 8x1,5 (BEST QUALITY AGO 5000-6000 HOURS) ;TEAK TOP;200x100x75;0,216;1;202x102x10,5;232,8;168,7;139;314;314;299;19,11;;858,26;187,8;;;OTION;;253,48;171,27;221,68;158,34;;;TAVOLO TEAK
